age;gender;daily_gaming_hours;game_genre;primary_game;gaming_platform;sleep_hours;sleep_quality;sleep_disruption_frequency;academic_work_performance;grades_gpa;work_productivity_score;mood_state;mood_swing_frequency;withdrawal_symptoms;loss_of_other_interests;continued_despite_problems;eye_strain;back_neck_pain;weight_change_kg;exercise_hours_weekly;social_isolation_score;face_to_face_social_hours_weekly;monthly_game_spending_usd;years_gaming
20;Male;52;Battle Royale;PUBG;Console;56;Very Poor;Often;Average;303;8;Angry;Rarely;FALSE;FALSE;FALSE;TRUE;FALSE;14;79;5;87;1991;7
18;Male;66;FPS;CS:GO;Console;41;Insomnia;Often;Poor;398;;Anxious;Sometimes;TRUE;TRUE;FALSE;FALSE;FALSE;1;55;5;84;9368;2
22;Female;46;Mobile Games;PUBG Mobile;PC;54;Poor;Never;Average;115;6;Angry;Sometimes;FALSE;FALSE;FALSE;TRUE;FALSE;16;84;4;83;8092;12
20;Male;28;MOBA;Mobile Legends;Mobile;83;Fair;Never;Excellent;354;9;Excited;Never;FALSE;FALSE;FALSE;FALSE;FALSE;3;83;3;143;4596;9
20;Male;76;Strategy;StarCraft II;Mobile;42;Very Poor;Never;Poor;27;9;Restless;Never;FALSE;TRUE;FALSE;TRUE;TRUE;36;52;6;26;12345;2
16;Female;23;MOBA;League of Legends;Mobile;84;Good;Often;Average;122;;Anxious;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;8;72;2;123;4243;4
20;Male;44;RPG;Elden Ring;Mobile;64;Fair;Often;Excellent;138;2;Restless;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;2;91;4;85;2663;2
33;Male;31;MMO;Elder Scrolls Online;Multi-platform;84;Fair;Never;Average;;8;Normal;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;13;83;1;128;4769;6
16;Male;8;FPS;Valorant;Mobile;38;Poor;Sometimes;Failing;322;;Irritable;Sometimes;TRUE;TRUE;TRUE;TRUE;TRUE;9;6;8;63;6137;1
20;Male;42;Strategy;StarCraft II;Mobile;54;Good;Sometimes;Average;221;7;Normal;Often;FALSE;FALSE;FALSE;FALSE;FALSE;1;71;1;88;918;1
20;Male;79;Battle Royale;PUBG;Console;35;Poor;Never;Below Average;225;3;Angry;Rarely;TRUE;FALSE;TRUE;FALSE;TRUE;33;7;6;42;8123;4
14;Female;39;Mobile Games;PUBG Mobile;Mobile;51;Poor;Sometimes;Good;288;;Euphoric;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;12;78;2;75;1743;3
26;Female;62;Strategy;Age of Empires;Multi-platform;57;Fair;Never;Average;;5;Depressed;Daily;FALSE;TRUE;FALSE;TRUE;TRUE;4;55;3;49;4884;8
20;Male;34;MMO;Final Fantasy XIV;PC;71;Poor;Sometimes;Below Average;119;7;Normal;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;13;78;1;129;2333;8
29;Female;61;FPS;Call of Duty;Mobile;67;Poor;Often;Good;;5;Restless;Daily;FALSE;TRUE;FALSE;TRUE;TRUE;8;77;2;107;11074;14
16;Female;59;RPG;Skyrim;Console;54;Fair;Often;Average;211;;Depressed;Never;FALSE;FALSE;FALSE;FALSE;FALSE;7;6;3;76;12589;2
15;Female;51;MMO;World of Warcraft;PC;65;Poor;Never;Below Average;387;;Angry;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;6;62;2;88;399;1
24;Male;7;Strategy;Age of Empires;Console;47;Very Poor;Sometimes;Poor;;5;Angry;Often;TRUE;FALSE;FALSE;FALSE;FALSE;5;8;4;88;13268;1
20;Male;35;RPG;Skyrim;Mobile;78;Good;Never;Good;139;3;Normal;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;13;98;2;107;4035;4
20;Male;114;FPS;Call of Duty;Console;43;Very Poor;Never;Failing;202;5;Anxious;Never;TRUE;FALSE;FALSE;TRUE;TRUE;3;5;6;2;4338;9
20;Female;5;Mobile Games;Genshin Impact;Multi-platform;72;Good;Sometimes;Excellent;339;4;Depressed;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;1;10;1;139;904;5
22;Female;58;FPS;CS:GO;PC;67;Good;Rarely;Average;23;3;Euphoric;Sometimes;FALSE;FALSE;FALSE;TRUE;FALSE;13;64;3;105;11452;5
19;Male;17;MOBA;Mobile Legends;Mobile;81;Good;Sometimes;Excellent;141;9;Normal;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;0;93;1;126;4753;5
24;Male;6;Strategy;StarCraft II;Console;69;Good;Always;Good;;10;Euphoric;Sometimes;FALSE;TRUE;FALSE;FALSE;TRUE;1;82;4;93;13331;3
25;Male;71;RPG;Elden Ring;Console;52;Poor;Sometimes;Average;;1;Anxious;Sometimes;TRUE;FALSE;FALSE;FALSE;TRUE;43;72;4;66;13621;8
23;Male;6;Battle Royale;Warzone;Mobile;72;Good;Rarely;Good;;4;Excited;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;0;88;1;111;3951;10
33;Female;72;Mobile Games;PUBG Mobile;Multi-platform;42;Fair;Rarely;Below Average;;9;Anxious;Often;FALSE;FALSE;FALSE;TRUE;TRUE;7;76;5;9;9657;8
22;Female;56;FPS;Call of Duty;Console;53;Good;Never;Average;208;4;Normal;Sometimes;FALSE;TRUE;FALSE;FALSE;TRUE;7;77;3;97;14426;10
13;Male;89;RPG;Cyberpunk 2077;Mobile;42;Very Poor;Sometimes;Below Average;391;;Restless;Never;TRUE;TRUE;FALSE;TRUE;TRUE;21;36;5;23;41713;3
16;Other;124;MOBA;Mobile Legends;PC;47;Insomnia;Often;Below Average;2;;Irritable;Daily;TRUE;FALSE;FALSE;TRUE;TRUE;2;43;7;6;35905;6
19;Female;66;FPS;Valorant;Mobile;33;Very Poor;Often;Below Average;309;10;Irritable;Sometimes;TRUE;TRUE;FALSE;TRUE;TRUE;23;8;4;95;14441;9
26;Female;49;Strategy;StarCraft II;Mobile;57;Fair;Often;Poor;;5;Irritable;Rarely;FALSE;FALSE;FALSE;TRUE;FALSE;12;88;3;95;6006;10
18;Male;44;Mobile Games;Candy Crush;PC;66;Poor;Often;Below Average;14;;Normal;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;0;83;1;113;4533;5
23;Female;47;RPG;Skyrim;Multi-platform;51;Good;Sometimes;Average;;8;Angry;Never;FALSE;FALSE;FALSE;TRUE;FALSE;12;7;4;107;108;8
22;Male;7;MMO;Elder Scrolls Online;Multi-platform;4;Very Poor;Sometimes;Poor;354;2;Irritable;Daily;TRUE;FALSE;FALSE;TRUE;TRUE;1;58;5;53;11922;4
20;Female;62;Mobile Games;Genshin Impact;Console;58;Very Poor;Never;Average;351;2;Irritable;Rarely;FALSE;TRUE;FALSE;TRUE;TRUE;33;67;5;96;421;8
18;Female;151;MMO;World of Warcraft;PC;48;Fair;Often;Below Average;305;;Restless;Often;TRUE;FALSE;FALSE;TRUE;TRUE;0;42;10;0;20975;6
25;Male;48;MMO;Elder Scrolls Online;Multi-platform;68;Fair;Never;Average;;7;Euphoric;Never;FALSE;FALSE;FALSE;FALSE;FALSE;16;58;2;10;13226;11
23;Male;26;Mobile Games;Clash of Clans;Console;88;Fair;Never;Good;;5;Excited;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;4;89;1;112;776;3
17;Female;4;Mobile Games;Genshin Impact;Multi-platform;58;Fair;Sometimes;Good;31;;Angry;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;33;63;2;74;1888;1
20;Male;5;MMO;Final Fantasy XIV;Console;69;Poor;Sometimes;Excellent;155;9;Normal;Never;FALSE;FALSE;FALSE;FALSE;FALSE;9;77;4;68;8567;8
19;Male;35;Battle Royale;PUBG;Multi-platform;8;Good;Often;Average;187;4;Excited;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;4;67;2;114;3995;3
33;Male;52;Battle Royale;Apex Legends;Multi-platform;69;Fair;Often;Good;;3;Euphoric;Daily;FALSE;FALSE;FALSE;TRUE;FALSE;2;9;6;69;7302;8
17;Male;94;Strategy;Civilization VI;PC;31;Poor;Often;Poor;101;;Depressed;Never;TRUE;FALSE;TRUE;TRUE;TRUE;13;47;6;18;36497;1
16;Female;57;MOBA;League of Legends;Multi-platform;68;Poor;Sometimes;Average;248;;Restless;Sometimes;FALSE;FALSE;FALSE;TRUE;TRUE;15;84;4;85;1363;2
19;Other;83;MOBA;League of Legends;PC;55;Poor;Always;Average;117;8;Irritable;Never;TRUE;FALSE;FALSE;FALSE;FALSE;3;4;7;39;8229;6
16;Female;9;Mobile Games;Genshin Impact;Mobile;58;Poor;Never;Poor;232;;Restless;Often;TRUE;FALSE;TRUE;TRUE;TRUE;37;38;5;6;19238;1
22;Female;72;Mobile Games;Genshin Impact;Multi-platform;36;Very Poor;Rarely;Poor;198;1;Irritable;Daily;TRUE;FALSE;FALSE;TRUE;FALSE;17;65;4;8;3286;11
17;Female;108;MMO;World of Warcraft;Multi-platform;5;Fair;Rarely;Poor;356;;Anxious;Often;TRUE;FALSE;TRUE;TRUE;TRUE;4;29;7;8;46243;3
18;Male;93;RPG;Elden Ring;Multi-platform;55;Insomnia;Rarely;Poor;142;;Irritable;Sometimes;TRUE;FALSE;FALSE;FALSE;TRUE;9;63;6;15;40423;2
20;Male;64;RPG;Elden Ring;Multi-platform;68;Fair;Rarely;Average;295;8;Normal;Never;FALSE;TRUE;FALSE;FALSE;TRUE;15;76;5;75;9102;8
26;Male;11;Mobile Games;PUBG Mobile;Multi-platform;76;Good;Sometimes;Good;;5;Normal;Often;FALSE;FALSE;FALSE;FALSE;FALSE;4;95;1;155;2499;10
22;Male;3;Battle Royale;Warzone;Mobile;88;Poor;Rarely;Good;24;5;Normal;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;11;71;2;85;3492;11
14;Male;75;MMO;Final Fantasy XIV;Multi-platform;48;Fair;Never;Poor;129;;Angry;Often;TRUE;TRUE;FALSE;TRUE;FALSE;7;79;5;66;1238;3
17;Male;61;FPS;Call of Duty;PC;67;Fair;Often;Average;306;;Normal;Sometimes;FALSE;TRUE;FALSE;TRUE;TRUE;18;56;4;98;7169;1
18;Female;59;Strategy;StarCraft II;PC;65;Poor;Rarely;Average;246;;Normal;Never;FALSE;TRUE;FALSE;TRUE;FALSE;4;74;4;49;9637;4
22;Female;81;Mobile Games;Candy Crush;Mobile;31;Fair;Sometimes;Failing;321;6;Anxious;Sometimes;FALSE;TRUE;FALSE;TRUE;FALSE;3;68;5;51;6748;1
20;Male;103;MMO;World of Warcraft;PC;58;Poor;Rarely;Below Average;15;1;Angry;Sometimes;FALSE;FALSE;FALSE;FALSE;TRUE;45;36;8;16;49927;4
17;Female;89;Strategy;Civilization VI;PC;59;Fair;Never;Good;326;;Restless;Never;TRUE;FALSE;FALSE;TRUE;TRUE;57;53;5;27;25442;5
26;Female;59;Mobile Games;Clash of Clans;Console;61;Good;Always;Good;;10;Excited;Sometimes;FALSE;TRUE;FALSE;FALSE;FALSE;5;52;5;84;8367;14
21;Female;49;Strategy;StarCraft II;Mobile;61;Fair;Always;Failing;353;5;Withdrawn;Rarely;FALSE;FALSE;FALSE;TRUE;FALSE;3;91;2;76;5637;8
22;Male;17;RPG;Skyrim;Console;73;Fair;Rarely;Average;141;7;Normal;Never;FALSE;FALSE;FALSE;FALSE;FALSE;4;108;1;141;241;5
19;Male;7;Mobile Games;Candy Crush;Mobile;49;Poor;Often;Failing;392;4;Restless;Daily;TRUE;TRUE;FALSE;TRUE;TRUE;4;46;6;88;11512;1
19;Male;32;MOBA;Mobile Legends;Mobile;73;Fair;Often;Average;205;9;Restless;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;5;91;2;144;1577;1
23;Male;104;RPG;Cyberpunk 2077;Mobile;56;Poor;Often;Poor;;10;Anxious;Rarely;FALSE;TRUE;TRUE;FALSE;FALSE;41;37;5;39;19703;5
31;Male;51;MOBA;Mobile Legends;PC;65;Fair;Often;Average;;1;Angry;Often;FALSE;FALSE;FALSE;TRUE;FALSE;9;74;2;109;7227;12
27;Female;63;Mobile Games;Candy Crush;PC;63;Very Poor;Often;Average;;10;Depressed;Daily;FALSE;FALSE;FALSE;TRUE;FALSE;13;8;2;102;2112;2
21;Male;54;FPS;Valorant;PC;66;Fair;Rarely;Failing;351;4;Normal;Rarely;FALSE;FALSE;FALSE;TRUE;FALSE;13;57;1;112;3312;11
19;Male;61;RPG;Elden Ring;Console;55;Good;Always;Average;322;7;Normal;Rarely;FALSE;FALSE;FALSE;TRUE;FALSE;6;81;5;79;11019;3
19;Female;71;MMO;Elder Scrolls Online;PC;5;Poor;Rarely;Good;266;1;Irritable;Sometimes;TRUE;TRUE;FALSE;FALSE;TRUE;1;53;4;6;11286;8
19;Female;8;RPG;Elden Ring;PC;34;Very Poor;Never;Poor;253;6;Restless;Often;TRUE;TRUE;FALSE;TRUE;TRUE;0;66;4;26;2681;3
21;Female;48;Battle Royale;Warzone;Mobile;66;Fair;Often;Below Average;108;5;Excited;Rarely;FALSE;FALSE;FALSE;FALSE;FALSE;36;61;2;109;4819;1
17;Female;98;Battle Royale;Warzone;PC;5;Very Poor;Always;Poor;366;;Anxious;Daily;TRUE;TRUE;FALSE;FALSE;FALSE;52;68;7;34;11488;7
14;Female;29;FPS;Valorant;Mobile;79;Good;Never;Excellent;137;;Depressed;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;5;94;3;87;246;3
19;Female;68;Battle Royale;PUBG;Multi-platform;37;Poor;Never;Failing;296;7;Angry;Rarely;TRUE;FALSE;FALSE;TRUE;TRUE;19;64;4;47;127;9
19;Male;46;Battle Royale;Fortnite;Console;53;Fair;Sometimes;Excellent;221;4;Irritable;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;2;68;2;113;8523;8
26;Male;12;RPG;Cyberpunk 2077;PC;44;Poor;Never;Failing;;2;Irritable;Sometimes;TRUE;FALSE;TRUE;TRUE;TRUE;18;52;9;25;32696;15
16;Female;54;Battle Royale;Fortnite;PC;67;Good;Rarely;Below Average;285;;Normal;Rarely;FALSE;FALSE;FALSE;TRUE;FALSE;4;79;3;11;14765;3
31;Female;55;MOBA;League of Legends;PC;68;Fair;Rarely;Good;;8;Normal;Never;FALSE;TRUE;FALSE;TRUE;TRUE;33;64;4;102;12615;20
16;Male;36;Strategy;Age of Empires;Multi-platform;69;Fair;Often;Below Average;382;;Irritable;Often;FALSE;FALSE;FALSE;FALSE;FALSE;2;99;1;96;404;5
20;Female;92;Mobile Games;Genshin Impact;Multi-platform;58;Very Poor;Often;Below Average;298;6;Withdrawn;Daily;TRUE;FALSE;FALSE;TRUE;TRUE;3;7;6;36;17745;5
23;Male;32;Mobile Games;Genshin Impact;Console;84;Fair;Rarely;Excellent;;9;Normal;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;3;10;3;117;4901;5
22;Female;84;MMO;World of Warcraft;Mobile;42;Very Poor;Always;Failing;257;3;Irritable;Never;FALSE;TRUE;TRUE;TRUE;FALSE;13;56;6;34;8228;8
15;Male;13;Battle Royale;Apex Legends;Multi-platform;54;Very Poor;Sometimes;Below Average;26;;Depressed;Sometimes;FALSE;TRUE;TRUE;FALSE;TRUE;34;4;9;9;22487;3
15;Male;57;RPG;Skyrim;Console;55;Poor;Never;Below Average;132;;Anxious;Daily;FALSE;TRUE;FALSE;TRUE;TRUE;3;77;4;91;6116;1
16;Other;9;MMO;World of Warcraft;Mobile;8;Fair;Sometimes;Good;175;;Withdrawn;Sometimes;FALSE;FALSE;FALSE;FALSE;FALSE;4;108;1;152;3537;1
19;Male;48;Mobile Games;Clash of Clans;Console;63;Poor;Sometimes;Average;286;6;Normal;Often;FALSE;FALSE;FALSE;TRUE;FALSE;3;69;4;99;2959;1
23;Male;118;Battle Royale;Fortnite;PC;38;Very Poor;Often;Poor;;6;Euphoric;Sometimes;TRUE;FALSE;FALSE;TRUE;TRUE;61;54;8;25;39188;1
17;Male;6;FPS;Overwatch;Mobile;67;Poor;Sometimes;Excellent;371;;Angry;Often;FALSE;TRUE;FALSE;TRUE;TRUE;22;76;5;104;14747;7
18;Male;26;MOBA;Mobile Legends;Multi-platform;73;Fair;Often;Good;11;;Normal;Never;FALSE;FALSE;FALSE;FALSE;FALSE;9;78;2;126;373;1
14;Female;77;RPG;Skyrim;Multi-platform;56;Poor;Never;Poor;196;;Restless;Never;TRUE;TRUE;FALSE;TRUE;TRUE;38;65;5;81;2558;2
20;Female;10;MMO;Final Fantasy XIV;Console;55;Good;Always;Poor;219;4;Withdrawn;Sometimes;TRUE;FALSE;TRUE;FALSE;FALSE;44;36;6;2;35872;5
19;Male;5;Mobile Games;Clash of Clans;Multi-platform;67;Poor;Always;Good;111;10;Normal;Sometimes;FALSE;FALSE;FALSE;TRUE;FALSE;15;89;3;118;14386;9
22;Male;56;Battle Royale;Warzone;Console;51;Poor;Rarely;Below Average;169;4;Anxious;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;44;83;5;57;4463;1
19;Female;43;MMO;World of Warcraft;Console;67;Very Poor;Sometimes;Average;331;8;Normal;Never;FALSE;FALSE;FALSE;FALSE;FALSE;15;96;2;13;48;6
35;Male;31;MOBA;League of Legends;Console;76;Good;Always;Below Average;;9;Excited;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;18;78;3;87;2792;15
18;Female;36;Mobile Games;Clash of Clans;Console;63;Fair;Never;Below Average;174;;Depressed;Often;FALSE;FALSE;FALSE;FALSE;FALSE;7;6;2;87;1353;3
20;Female;69;RPG;Cyberpunk 2077;Multi-platform;49;Good;Often;Good;311;10;Anxious;Daily;FALSE;FALSE;FALSE;TRUE;TRUE;1;69;4;65;221;10
16;Male;52;Mobile Games;Clash of Clans;PC;57;Fair;Sometimes;Average;103;;Anxious;Never;FALSE;FALSE;FALSE;TRUE;FALSE;4;91;2;67;2036;4
13;Male;4;Battle Royale;PUBG;Console;51;Poor;Always;Average;142;;Anxious;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;4;64;2;121;2746;1
26;Male;83;RPG;Elden Ring;Multi-platform;54;Poor;Often;Average;;4;Withdrawn;Never;FALSE;TRUE;TRUE;TRUE;FALSE;44;76;5;35;4913;1
16;Female;36;Strategy;Civilization VI;Mobile;55;Very Poor;Always;Good;4;;Euphoric;Daily;FALSE;FALSE;FALSE;FALSE;FALSE;6;98;3;102;2078;4
24;Male;79;MMO;Final Fantasy XIV;Console;46;Good;Often;Average;;2;Withdrawn;Rarely;TRUE;TRUE;FALSE;TRUE;TRUE;9;53;5;5;307;11
19;Male;8;RPG;Cyberpunk 2077;Console;34;Poor;Often;Below Average;21;4;Restless;Often;TRUE;TRUE;TRUE;TRUE;FALSE;14;41;7;64;10441;9
19;Male;93;Mobile Games;Clash of Clans;Multi-platform;48;Very Poor;Always;Below Average;359;2;Euphoric;Sometimes;TRUE;FALSE;TRUE;TRUE;TRUE;27;4;7;57;11326;2
20;Male;102;RPG;Elden Ring;Mobile;51;Poor;Never;Poor;347;7;Irritable;Daily;FALSE;FALSE;FALSE;FALSE;TRUE;18;3;7;45;31414;6
24;Male;72;MOBA;Dota 2;Console;46;Insomnia;Sometimes;Poor;;1;Restless;Never;TRUE;TRUE;FALSE;TRUE;TRUE;34;75;5;67;8377;5
15;Male;7;MOBA;League of Legends;PC;47;Fair;Never;Average;191;;Anxious;Never;TRUE;FALSE;FALSE;TRUE;TRUE;32;63;4;89;8095;4
21;Male;82;Mobile Games;Clash of Clans;Multi-platform;37;Poor;Often;Poor;178;8;Angry;Often;TRUE;FALSE;FALSE;TRUE;TRUE;8;4;4;55;525;1
22;Male;44;FPS;CS:GO;Mobile;52;Poor;Often;Good;185;7;Restless;Never;FALSE;FALSE;FALSE;FALSE;FALSE;14;93;3;8;2143;5
20;Male;58;MOBA;League of Legends;Multi-platform;6;Fair;Sometimes;Good;108;5;Normal;Daily;FALSE;TRUE;FALSE;FALSE;TRUE;26;6;5;66;11106;10
21;Male;97;Battle Royale;PUBG;Mobile;45;Insomnia;Never;Below Average;337;8;Euphoric;Sometimes;TRUE;FALSE;FALSE;FALSE;FALSE;5;37;8;25;27624;7
17;Other;32;MOBA;League of Legends;Mobile;72;Fair;Never;Average;258;;Normal;Often;FALSE;FALSE;FALSE;FALSE;FALSE;15;76;1;92;3913;2
18;Male;89;Strategy;Civilization VI;Console;35;Good;Always;Good;134;;Angry;Never;TRUE;FALSE;FALSE;TRUE;TRUE;27;49;5;51;3421;2
30;Female;66;MMO;Final Fantasy XIV;PC;52;Very Poor;Rarely;Poor;;7;Excited;Never;TRUE;FALSE;FALSE;TRUE;TRUE;13;65;5;68;1124;15
18;Male;39;RPG;Cyberpunk 2077;Multi-platform;65;Poor;Never;Below Average;273;;Normal;Often;FALSE;FALSE;FALSE;FALSE;FALSE;3;94;3;109;2379;6
19;Male;104;Strategy;StarCraft II;Mobile;51;Very Poor;Often;Failing;176;3;Withdrawn;Sometimes;TRUE;TRUE;FALSE;FALSE;TRUE;5;56;8;59;41209;5
19;Male;53;MOBA;League of Legends;Multi-platform;64;Poor;Rarely;Average;143;8;Irritable;Never;FALSE;FALSE;FALSE;TRUE;FALSE;24;79;4;96;3982;1
16;Male;48;MOBA;League of Legends;Console;53;Fair;Never;Excellent;161;;Depressed;Daily;FALSE;FALSE;FALSE;TRUE;FALSE;9;75;4;94;6997;2
16;Female;64;MOBA;Mobile Legends;PC;54;Fair;Rarely;Below Average;334;;Normal;Often;FALSE;FALSE;FALSE;FALSE;FALSE;1;83;3;8;3414;6
