```php
id,age,gender,daily_gaming_hours,game_genre,primary_game,gaming_platform,sleep_hours,sleep_quality,sleep_disruption_frequency,continued_despite_problems,eye_strain,back_neck_pain,weight_change_kg,exercise_hours_weekly,social_isolation_score,face_to_face_social_hours_weekly,monthly_game_spending_usd,years_gaming,prediction_result,confidence,algorithm,created_at,academic_work_performance,loss_of_other_interests
68,23,Female,4.7,-,-,-,5.1,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",94.6,DT,"2026-06-03 15:07:01",-,-
69,22,Male,7,-,-,-,4,-,-,-,-,-,0,0,5,0,0,0,"High Risk",93.5,DT,"2026-06-03 15:07:01",-,-
70,20,Female,6.2,-,-,-,5.8,-,-,-,-,-,0,0,5,0,0,0,"High Risk",97.2,DT,"2026-06-03 15:07:01",-,-
71,18,Female,15.1,-,-,-,4.8,-,-,-,-,-,0,0,10,0,0,0,"Low Risk",98.03,DT,"2026-06-03 15:07:01",-,-
72,25,Male,4.8,-,-,-,6.8,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",91.92,DT,"2026-06-03 15:07:01",-,-
73,23,Male,2.6,-,-,-,8.8,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",90.28,DT,"2026-06-03 15:07:01",-,-
74,17,Female,4,-,-,-,5.8,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",90.95,DT,"2026-06-03 15:07:01",-,-
75,20,Male,5,-,-,-,6.9,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",92.2,DT,"2026-06-03 15:07:01",-,-
76,19,Male,3.5,-,-,-,8,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",90.67,DT,"2026-06-03 15:07:01",-,-
77,33,Male,5.2,-,-,-,6.9,-,-,-,-,-,0,0,6,0,0,0,"Moderate Risk",93.94,DT,"2026-06-03 15:07:01",-,-
78,17,Male,9.4,-,-,-,3.1,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",98.66,DT,"2026-06-03 15:07:01",-,-
79,16,Female,5.7,-,-,-,6.8,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",92.17,DT,"2026-06-03 15:07:01",-,-
80,19,Other,8.3,-,-,-,5.5,-,-,-,-,-,0,0,7,0,0,0,"High Risk",94.81,DT,"2026-06-03 15:07:01",-,-
81,16,Female,9,-,-,-,5.8,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",90.97,DT,"2026-06-03 15:07:01",-,-
82,22,Female,7.2,-,-,-,3.6,-,-,-,-,-,0,0,4,0,0,0,"High Risk",91.49,DT,"2026-06-03 15:07:01",-,-
83,17,Female,10.8,-,-,-,5,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",92.64,DT,"2026-06-03 15:07:01",-,-
84,18,Male,9.3,-,-,-,5.5,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",93.32,DT,"2026-06-03 15:07:01",-,-
85,20,Male,6.4,-,-,-,6.8,-,-,-,-,-,0,0,5,0,0,0,"High Risk",98.87,DT,"2026-06-03 15:07:01",-,-
86,26,Male,1.1,-,-,-,7.6,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",94.68,DT,"2026-06-03 15:07:01",-,-
87,22,Male,3,-,-,-,8.8,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",93.32,DT,"2026-06-03 15:07:01",-,-
88,14,Male,7.5,-,-,-,4.8,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",94.08,DT,"2026-06-03 15:07:01",-,-
89,17,Male,6.1,-,-,-,6.7,-,-,-,-,-,0,0,4,0,0,0,"High Risk",97.26,DT,"2026-06-03 15:07:01",-,-
90,18,Female,5.9,-,-,-,6.5,-,-,-,-,-,0,0,4,0,0,0,"High Risk",98.2,DT,"2026-06-03 15:07:01",-,-
91,22,Female,8.1,-,-,-,3.1,-,-,-,-,-,0,0,5,0,0,0,"High Risk",95.66,DT,"2026-06-03 15:07:01",-,-
92,20,Male,10.3,-,-,-,5.8,-,-,-,-,-,0,0,8,0,0,0,"High Risk",96.91,DT,"2026-06-03 15:07:01",-,-
93,17,Female,8.9,-,-,-,5.9,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",97.73,DT,"2026-06-03 15:07:01",-,-
94,26,Female,5.9,-,-,-,6.1,-,-,-,-,-,0,0,5,0,0,0,"High Risk",98.04,DT,"2026-06-03 15:07:01",-,-
95,21,Female,4.9,-,-,-,6.1,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",97.86,DT,"2026-06-03 15:07:01",-,-
96,22,Male,1.7,-,-,-,7.3,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",96.56,DT,"2026-06-03 15:07:01",-,-
97,19,Male,7,-,-,-,4.9,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",95.73,DT,"2026-06-03 15:07:01",-,-
98,19,Male,3.2,-,-,-,7.3,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",94.8,DT,"2026-06-03 15:07:01",-,-
99,23,Male,10.4,-,-,-,5.6,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",90.62,DT,"2026-06-03 15:07:01",-,-
100,31,Male,5.1,-,-,-,6.5,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",91.74,DT,"2026-06-03 15:07:01",-,-
101,27,Female,6.3,-,-,-,6.3,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",95.84,DT,"2026-06-03 15:07:01",-,-
102,21,Male,5.4,-,-,-,6.6,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",93.91,DT,"2026-06-03 15:07:01",-,-
103,19,Male,6.1,-,-,-,5.5,-,-,-,-,-,0,0,5,0,0,0,"Moderate Risk",97.5,DT,"2026-06-03 15:07:01",-,-
104,19,Female,7.1,-,-,-,5,-,-,-,-,-,0,0,4,0,0,0,"Low Risk",91.29,DT,"2026-06-03 15:07:01",-,-
105,19,Female,8,-,-,-,3.4,-,-,-,-,-,0,0,4,0,0,0,"Low Risk",90.92,DT,"2026-06-03 15:07:01",-,-
106,21,Female,4.8,-,-,-,6.6,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",96.35,DT,"2026-06-03 15:07:01",-,-
107,17,Female,9.8,-,-,-,5,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",95.6,DT,"2026-06-03 15:07:01",-,-
108,14,Female,2.9,-,-,-,7.9,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",93.64,DT,"2026-06-03 15:07:01",-,-
109,19,Female,6.8,-,-,-,3.7,-,-,-,-,-,0,0,4,0,0,0,"High Risk",93.18,DT,"2026-06-03 15:07:01",-,-
110,19,Male,4.6,-,-,-,5.3,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",93.92,DT,"2026-06-03 15:07:01",-,-
111,26,Male,12,-,-,-,4.4,-,-,-,-,-,0,0,9,0,0,0,"Low Risk",93.04,DT,"2026-06-03 15:07:01",-,-
112,16,Female,5.4,-,-,-,6.7,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",92.68,DT,"2026-06-03 15:07:01",-,-
113,31,Female,5.5,-,-,-,6.8,-,-,-,-,-,0,0,4,0,0,0,"High Risk",95.09,DT,"2026-06-03 15:07:01",-,-
114,16,Male,3.6,-,-,-,6.9,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",94.44,DT,"2026-06-03 15:07:01",-,-
115,20,Female,9.2,-,-,-,5.8,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",98.59,DT,"2026-06-03 15:07:01",-,-
116,23,Male,3.2,-,-,-,8.4,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",98.46,DT,"2026-06-03 15:07:01",-,-
117,22,Female,8.4,-,-,-,4.2,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",96.8,DT,"2026-06-03 15:07:01",-,-
118,15,Male,13,-,-,-,5.4,-,-,-,-,-,0,0,9,0,0,0,"Low Risk",93.77,DT,"2026-06-03 15:07:01",-,-
119,15,Male,5.7,-,-,-,5.5,-,-,-,-,-,0,0,4,0,0,0,"High Risk",94.61,DT,"2026-06-03 15:07:01",-,-
120,16,Other,0.9,-,-,-,8,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",91.18,DT,"2026-06-03 15:07:01",-,-
121,19,Male,4.8,-,-,-,6.3,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",91.5,DT,"2026-06-03 15:07:01",-,-
122,23,Male,11.8,-,-,-,3.8,-,-,-,-,-,0,0,8,0,0,0,"Low Risk",98.84,DT,"2026-06-03 15:07:01",-,-
123,17,Male,6,-,-,-,6.7,-,-,-,-,-,0,0,5,0,0,0,"High Risk",98.49,DT,"2026-06-03 15:07:01",-,-
124,18,Male,2.6,-,-,-,7.3,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",93.27,DT,"2026-06-03 15:07:01",-,-
125,14,Female,7.7,-,-,-,5.6,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",92.84,DT,"2026-06-03 15:07:01",-,-
126,20,Female,10,-,-,-,5.5,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",97.55,DT,"2026-06-03 15:07:01",-,-
127,19,Male,5,-,-,-,6.7,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",92.07,DT,"2026-06-03 15:07:01",-,-
128,22,Male,5.6,-,-,-,5.1,-,-,-,-,-,0,0,5,0,0,0,"Moderate Risk",94.92,DT,"2026-06-03 15:07:01",-,-
129,19,Female,4.3,-,-,-,6.7,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",96.89,DT,"2026-06-03 15:07:01",-,-
130,35,Male,3.1,-,-,-,7.6,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",93.59,DT,"2026-06-03 15:07:01",-,-
131,18,Female,3.6,-,-,-,6.3,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",98.93,DT,"2026-06-03 15:07:01",-,-
132,20,Female,6.9,-,-,-,4.9,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",98.79,DT,"2026-06-03 15:07:01",-,-
133,16,Male,5.2,-,-,-,5.7,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",92.86,DT,"2026-06-03 15:07:01",-,-
134,13,Male,4,-,-,-,5.1,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",90.07,DT,"2026-06-03 15:07:01",-,-
135,26,Male,8.3,-,-,-,5.4,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",90.35,DT,"2026-06-03 15:07:01",-,-
136,16,Female,3.6,-,-,-,5.5,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",97.68,DT,"2026-06-03 15:07:01",-,-
137,24,Male,7.9,-,-,-,4.6,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",92.81,DT,"2026-06-03 15:07:01",-,-
138,19,Male,8,-,-,-,3.4,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",93.96,DT,"2026-06-03 15:07:01",-,-
139,19,Male,9.3,-,-,-,4.8,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",97.73,DT,"2026-06-03 15:07:01",-,-
140,20,Male,10.2,-,-,-,5.1,-,-,-,-,-,0,0,7,0,0,0,"High Risk",90.28,DT,"2026-06-03 15:07:01",-,-
141,24,Male,7.2,-,-,-,4.6,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",96.59,DT,"2026-06-03 15:07:01",-,-
142,15,Male,7,-,-,-,4.7,-,-,-,-,-,0,0,4,0,0,0,"High Risk",92.69,DT,"2026-06-03 15:07:01",-,-
143,21,Male,8.2,-,-,-,3.7,-,-,-,-,-,0,0,4,0,0,0,"High Risk",91.02,DT,"2026-06-03 15:07:01",-,-
144,22,Male,4.4,-,-,-,5.2,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",90.09,DT,"2026-06-03 15:07:01",-,-
145,20,Male,5.8,-,-,-,6,-,-,-,-,-,0,0,5,0,0,0,"High Risk",94.47,DT,"2026-06-03 15:07:01",-,-
146,21,Male,9.7,-,-,-,4.5,-,-,-,-,-,0,0,8,0,0,0,"Low Risk",97.71,DT,"2026-06-03 15:07:01",-,-
147,17,Other,3.2,-,-,-,7.2,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",98.56,DT,"2026-06-03 15:07:01",-,-
148,18,Male,8.9,-,-,-,3.5,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",96.12,DT,"2026-06-03 15:07:01",-,-
149,30,Female,6.6,-,-,-,5.2,-,-,-,-,-,0,0,5,0,0,0,"High Risk",97.33,DT,"2026-06-03 15:07:01",-,-
150,18,Male,3.9,-,-,-,6.5,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",95.98,DT,"2026-06-03 15:07:01",-,-
151,19,Male,10.4,-,-,-,5.1,-,-,-,-,-,0,0,8,0,0,0,"Low Risk",92.23,DT,"2026-06-03 15:07:01",-,-
152,19,Male,5.3,-,-,-,6.4,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",97.37,DT,"2026-06-03 15:07:01",-,-
153,16,Male,4.8,-,-,-,5.3,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",91.1,DT,"2026-06-03 15:07:01",-,-
154,16,Female,6.4,-,-,-,5.4,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",92.13,DT,"2026-06-03 15:07:01",-,-
155,17,Male,10.6,-,-,-,4.1,-,-,-,-,-,0,0,8,0,0,0,"Low Risk",93.86,DT,"2026-06-03 15:07:01",-,-
156,17,Male,6.7,-,-,-,5.3,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",95.78,DT,"2026-06-03 15:07:01",-,-
157,20,Male,6.9,-,-,-,4.7,-,-,-,-,-,0,0,4,0,0,0,"High Risk",93.2,DT,"2026-06-03 15:07:01",-,-
158,16,Female,2.2,-,-,-,7.7,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",95.59,DT,"2026-06-03 15:07:01",-,-
159,22,Male,9,-,-,-,5.3,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",95.31,DT,"2026-06-03 15:07:01",-,-
160,25,Other,4.7,-,-,-,7,-,-,-,-,-,0,0,4,0,0,0,"Moderate Risk",92.19,DT,"2026-06-03 15:07:01",-,-
161,18,Male,10.4,-,-,-,4.7,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",91.09,DT,"2026-06-03 15:07:01",-,-
162,19,Male,12.2,-,-,-,5.9,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",97.92,DT,"2026-06-03 15:07:01",-,-
163,27,Male,4.3,-,-,-,5.3,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",98.94,DT,"2026-06-03 15:07:01",-,-
164,22,Female,6.3,-,-,-,5.5,-,-,-,-,-,0,0,2,0,0,0,"Moderate Risk",94.34,DT,"2026-06-03 15:07:01",-,-
165,18,Male,7.7,-,-,-,5.6,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",93.59,DT,"2026-06-03 15:07:01",-,-
166,21,Female,8.4,-,-,-,5.7,-,-,-,-,-,0,0,5,0,0,0,"Low Risk",94.24,DT,"2026-06-03 15:07:01",-,-
167,18,Male,7.2,-,-,-,3.9,-,-,-,-,-,0,0,6,0,0,0,"High Risk",91.99,DT,"2026-06-03 15:07:01",-,-
168,21,Male,5.1,-,-,-,5.8,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",98.83,DT,"2026-06-03 15:07:01",-,-
169,25,Male,5.8,-,-,-,5.3,-,-,-,-,-,0,0,5,0,0,0,"High Risk",93.34,DT,"2026-06-03 15:07:01",-,-
170,21,Male,7.6,-,-,-,5.6,-,-,-,-,-,0,0,6,0,0,0,"Low Risk",93.31,DT,"2026-06-03 15:07:01",-,-
171,23,Male,2.6,-,-,-,8.3,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",94.09,DT,"2026-06-03 15:07:01",-,-
172,21,Male,1.3,-,-,-,8.4,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",96.97,DT,"2026-06-03 15:07:02",-,-
173,24,Male,6.2,-,-,-,5.9,-,-,-,-,-,0,0,6,0,0,0,"High Risk",98.89,DT,"2026-06-03 15:07:02",-,-
174,21,Male,9.1,-,-,-,3.2,-,-,-,-,-,0,0,7,0,0,0,"Low Risk",94.63,DT,"2026-06-03 15:07:02",-,-
175,22,Male,10.1,-,-,-,3.4,-,-,-,-,-,0,0,8,0,0,0,"Low Risk",91.99,DT,"2026-06-03 15:07:02",-,-
176,25,Male,7.9,-,-,-,5.1,-,-,-,-,-,0,0,5,0,0,0,"High Risk",90.9,DT,"2026-06-03 15:07:02",-,-
177,19,Female,2.9,-,-,-,8,-,-,-,-,-,0,0,1,0,0,0,"Moderate Risk",98.5,DT,"2026-06-03 15:07:02",-,-
178,19,Male,4.6,-,-,-,5.9,-,-,-,-,-,0,0,3,0,0,0,"Moderate Risk",94.13,DT,"2026-06-03 15:07:02",-,-
179,21,Male,5.7,-,-,-,5.7,-,-,-,-,-,0,0,3,0,0,0,"High Risk",95.28,DT,"2026-06-03 15:07:02",-,-
180,22,Female,8.2,-,-,-,4.2,-,-,-,-,-,0,0,5,0,0,0,"High Risk",92.92,DT,"2026-06-03 15:07:02",-,-
